Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
Dell Alienware 16X Aurora AC16251 Ultra 9-275HX (16GB-1TB SSD) RTX 5070 8GB,645999.0,750000.0,14,0,0,Dell,Ultra 9,1TB,Alienware 16X Aurora AC16251 Ultra 9-275HX  RTX 5070 8GB
HP 15 FD0647TU 13th Generation Ci5-1334U (8GB-512GB SSD),139999.0,170000.0,18,0,0,Hp,Core i5,512GB,15 FD0647TU 13th Generation Ci5-1334U
HP OMNIBOOK X FLIP 16-AS0043DX ULTRA 9-288V (32GB-2TB SSD),403999.0,445000.0,9,0,0,Hp,Ultra 9,2TB,OMNIBOOK X FLIP 16-AS0043DX ULTRA 9-288V
Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS (8GB - 512GB),230999.0,309999.0,25,0,0,Lenovo,Core i7,512GB,ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS
HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS (8GB - 512GB),199999.0,239999.0,17,0,0,Hp,Core i5,512GB,ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS
HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 Backlit Keyboard DOS,179999.0,210000.0,14,5,1,Hp,Core i5,512GB,ProBook 450 G9 15.6 Inches 12th Gen Core i5 Backlit Keyboard DOS
HP ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB) International,186999.0,259999.0,28,0,0,Hp,Core i7,512GB,ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS  International
Lenovo Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS (8GB - 1TB),204999.0,219999.0,7,0,0,Lenovo,Core i5,1TB,Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS
HP 15s FC0100AU 15.6 Inches AMD Ryzen 5 7520U Win 11 (8GB - 512GB),191999.0,234999.0,18,0,0,Hp,Ryzen 5,512GB,15s FC0100AU 15.6 Inches AMD Ryzen 5 7520U Win 11
Lenovo V15 G3-Ci5 12th (8GB 512GB SSD),132999.0,199999.0,34,0,0,Lenovo,Core i5,512GB,V15 G3-Ci5 12th
HP 250 G10 Raptor Lake 13th Gen Core i5 (8GB-512GB SSD),148999.0,185000.0,19,0,0,Hp,Core i5,512GB,250 G10 Raptor Lake 13th Gen Core i5
HP Probook 450 G10 13th Gen Core i7 (8GB-512GB),214999.0,240000.0,10,0,0,Hp,Core i7,512GB,Probook 450 G10 13th Gen Core i7
Lenovo ThinkBook 16 Ci3-1305U (8GB-512GB SSD),127999.0,200000.0,36,0,0,Lenovo,Core i3,512GB,ThinkBook 16 Ci3-1305U
Lenovo ThinkbooK 14 13th Core i5,165488.0,200000.0,17,0,0,Lenovo,Core i5,512GB,ThinkbooK 14 13th Core i5
Lenovo Thinkbook 14 14th Gen Core 7 8GB/512GB,225999.0,300000.0,25,0,0,Lenovo,Core 7,512GB,Thinkbook 14 14th Gen Core 7 8GB/512GB
Lenovo V15 G4 Core i5 13th Generation,145999.0,150000.0,3,0,0,Lenovo,Core i5,512GB,V15 G4 Core i5 13th Generation
HP EliteBook 640 G10 13th Gen Core i7 14 inches (16GB-512GB),247999.0,300000.0,17,0,0,Hp,Core i7,512GB,EliteBook 640 G10 13th Gen Core i7 14 inches
Lenovo Ideapad Slim 3 13th Gen Core i7 DOS(16GB-512GB),168999.0,200000.0,16,0,0,Lenovo,Core i7,512GB,Ideapad Slim 3 13th Gen Core i7 DOS
Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i5  (8GB - 512GB),237999.0,250000.0,5,0,0,Lenovo,Core i5,512GB,ThinkPad E16 G1 14 Inches 13th Gen Core i5
Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i5 (8GB - 512GB),237999.0,250000.0,5,0,0,Lenovo,Core i5,512GB,ThinkPad E16 G1 15.6 Inches 13th Gen Core i5
HP EliteBook 640 G10 13th Gen Core i5 14 inches (8GB-512GB),199999.0,230000.0,13,0,0,Hp,Core i5,512GB,EliteBook 640 G10 13th Gen Core i5 14 inches
HP ENVY x360 14 ES1023dx 14th Gen Core 7 (16GB-512GB),233999.0,250000.0,6,0,0,Hp,Core 7,512GB,ENVY x360 14 ES1023dx 14th Gen Core 7
HP Laptop 15-fd0356nia  Core™ i5 DOS (8GB-512GB),141999.0,200000.0,29,0,0,Hp,Core i5,512GB,Laptop 15-fd0356nia  Core™ i5 DOS
Lenovo Yoga 7 2 in 1 16 - Intel Core Ultra 7 (16GB-1TB),261999.0,370000.0,29,0,0,Lenovo,Ultra 7,1TB,Yoga 7 2 in 1 16 - Intel Core Ultra 7
Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD),171999.0,200000.0,14,0,0,Dell,Core i5,256GB,Latitude 3540 Ci5-1335U
Dell Inspiron 14-7440 CORE7 150U,221999.0,290000.0,23,0,0,Dell,Core 7,512GB,Inspiron 14-7440 CORE7 150U
ASUS EXPERTBOOK B1503CVA Ci7 1355U (16GB-512GB SSD),181999.0,200000.0,9,0,0,Asus,Core i7,512GB,EXPERTBOOK B1503CVA Ci7 1355U
HP PROBOOK 440 G11 Ultra 5 125u,216999.0,235000.0,8,0,0,Hp,Ultra 5,512GB,PROBOOK 440 G11 Ultra 5 125u
Lenovo ThinkBook 16 Ultra 7 255H (8GB-512GB SSD),251999.0,280000.0,10,0,0,Lenovo,Ultra 7,512GB,ThinkBook 16 Ultra 7 255H
HP OMEN 16-AE0073CL Ci7-14650HX (32GB - 1TB) RTX-4060-8GB,433999.0,460000.0,6,0,0,Hp,Core i7,1TB,OMEN 16-AE0073CL Ci7-14650HX  RTX-4060-8GB
ASUS ROG STRIX G614J 13TH CI7 13650HX (32GB-1TB SSD),378999.0,399999.0,5,0,0,Asus,Core i7,1TB,ROG STRIX G614J 13TH CI7 13650HX
Dell Latitude 5450 14th Gen Core Ultra 7 (8GB-512GB SSD),327999.0,369999.0,11,0,0,Dell,Ultra 7,512GB,Latitude 5450 14th Gen Core Ultra 7
